id_employee,id_project,id_task,location,work_type,Start _date,End_sate
1,2,2,BHD,work from office ,16/06/2025 09:00 AM,16/06/2025 05:00 PM
1,2,2,BHD,work from office ,17/06/2025 09:00 AM,17/06/2025 05:00 PM
1,2,2,BHD,work from office ,18/06/2025 09:00 AM,18/06/2025 05:00 PM
1,2,2,BHD,work from office ,19/06/2025 09:00 AM,19/06/2025 05:00 PM
1,2,2,BHD,work from office ,20/06/2025 09:00 AM,20/06/2025 05:00 PM
58,2,2,BVD,work from office ,16/06/2025 09:00 AM,16/06/2025 05:00 PM
58,2,2,BVD,work from office ,17/06/2025 09:00 AM,17/06/2025 05:00 PM
58,2,2,BVD,work from office ,18/06/2025 09:00 AM,18/06/2025 05:00 PM
58,2,2,BVD,work from office ,19/06/2025 09:00 AM,19/06/2025 05:00 PM
58,2,2,BVD,work from office ,20/06/2025 09:00 AM,20/06/2025 05:00 PM
92,2,2,CLD,work from office ,16/06/2025 09:00 AM,16/06/2025 05:00 PM
92,2,2,CLD,work from office ,17/06/2025 09:00 AM,17/06/2025 05:00 PM
92,2,2,CLD,work from office ,18/06/2025 09:00 AM,18/06/2025 05:00 PM
92,2,2,CLD,work from office ,19/06/2025 09:00 AM,19/06/2025 05:00 PM
92,2,2,CLD,work from office ,20/06/2025 09:00 AM,20/06/2025 05:00 PM
185,2,2,ISD,work from office ,16/06/2025 09:00 AM,16/06/2025 05:00 PM
185,2,2,ISD,work from office ,17/06/2025 09:00 AM,17/06/2025 05:00 PM
185,2,2,ISD,work from office ,18/06/2025 09:00 AM,18/06/2025 05:00 PM
185,2,2,ISD,work from office ,19/06/2025 09:00 AM,19/06/2025 05:00 PM
185,2,2,ISD,work from office ,20/06/2025 09:00 AM,20/06/2025 05:00 PM
263,2,2,PTD,work from office ,16/06/2025 09:00 AM,16/06/2025 05:00 PM
263,2,2,PTD,work from office ,17/06/2025 09:00 AM,17/06/2025 05:00 PM
263,2,2,PTD,work from office ,18/06/2025 09:00 AM,18/06/2025 05:00 PM
263,2,2,PTD,work from office ,19/06/2025 09:00 AM,19/06/2025 05:00 PM
263,2,2,PTD,work from office ,20/06/2025 09:00 AM,20/06/2025 05:00 PM
